Pos0x,Pos0y,Rot0,Pos1x,Pos1y,Rot1
-0.2218726,-1.671562,-0.01411438,0.06940821,-0.975886,4.05716
-0.2219654,-1.669076,-0.002227783,0.06902786,-0.975448,4.07628
-0.2223624,-1.673265,-0.01191711,0.06935538,-0.9766313,4.060735
-0.2228053,-1.676217,-0.01570129,0.06921729,-0.9756696,4.066729
-0.2224545,-1.670774,0,0.06935538,-0.9766313,4.060735
-0.2211276,-1.661982,0.0110321,0.06919087,-0.9760401,4.068505
-0.2224997,-1.669532,0.005950928,0.06905428,-0.9750772,4.074502
-0.2220106,-1.667834,0.003723145,0.06951921,-0.9772275,4.05298
-0.2233881,-1.675424,-0.001556396,0.06957275,-0.9764785,4.049388
-0.2209462,-1.666931,-0.01266479,0.06919087,-0.9760401,4.068505
-0.223924,-1.675875,0.006622314,0.06940821,-0.975886,4.05716
-0.2220106,-1.667834,0.003723145,0.06916446,-0.9764136,4.070296
-0.2218726,-1.671562,-0.01411438,0.06957275,-0.9764785,4.049388
-0.2224085,-1.672019,-0.005950928,0.06951921,-0.9772275,4.05298
-0.2219201,-1.67032,-0.008178711,0.06946565,-0.9779847,4.056611
-0.2234807,-1.672935,0.01036072,0.06916446,-0.9764136,4.070296
-0.2209915,-1.665687,-0.006698608,0.06957275,-0.9764785,4.049388
-0.2219654,-1.669076,-0.002227783,0.06905428,-0.9750772,4.074502
-0.2224085,-1.672019,-0.005950928,0.06919087,-0.9760401,4.068505
-0.2219201,-1.67032,-0.008178711,0.06938107,-0.9762613,4.05896
-0.2224085,-1.672019,-0.005950928,0.06900073,-0.9758261,4.078092
-0.2224997,-1.669532,0.005950928,0.06954562,-0.9768575,4.051206
-0.2225463,-1.668295,0.01185608,0.06940821,-0.975886,4.05716
-0.2215215,-1.666135,0.00151062,0.06938107,-0.9762613,4.05896
-0.2217801,-1.674061,-0.02609253,0.06951921,-0.9772275,4.05298
-0.2219654,-1.669076,-0.002227783,0.06968381,-0.9778309,4.045267
-0.2240607,-1.672147,0.0244751,0.06916446,-0.9764136,4.070296
-0.2213849,-1.669863,-0.0163269,0.06938107,-0.9762613,4.05896
-0.2224085,-1.672019,-0.005950928,0.06938107,-0.9762613,4.05896
-0.2233573,-1.691011,-0.06581116,0.06932824,-0.9770129,4.062564
-0.224528,-1.746473,-0.2692261,0.06935538,-0.9766313,4.060735
-0.2310069,-1.89988,-0.766037,0.06935538,-0.9766313,4.060735
-0.2352574,-2.194299,-1.826004,0.06938107,-0.9762613,4.05896
-0.2152509,-2.563771,-3.444672,0.06921729,-0.9756696,4.066729
-0.1670257,-2.964317,-5.404129,0.06954562,-0.9768575,4.051206
-0.1117759,-3.348555,-7.241348,0.06957275,-0.9764785,4.049388
-0.04949626,-3.734208,-9.03244,0.06924443,-0.9752942,4.064929
-0.01171781,-4.064418,-10.32146,0.06954562,-0.9768575,4.051206
-0.0199985,-4.505904,-11.44449,0.06946565,-0.9779847,4.056611
-0.08073533,-4.964178,-12.23593,0.06954562,-0.9768575,4.051206
-0.1376558,-5.376233,-13.0322,0.06919087,-0.9760401,4.068505
-0.1574911,-5.670764,-13.79005,0.06935538,-0.9766313,4.060735
-0.06867681,-6.219231,-16.02199,0.06919087,-0.9760401,4.068505
-0.01093266,-6.543654,-17.33932,0.06940821,-0.975886,4.05716
-0.03664332,-6.939813,-18.37511,0.06957275,-0.9764785,4.049388
-0.117986,-7.390046,-19.32591,0.06930111,-0.9773936,4.064389
-0.1540662,-7.801634,-20.44899,0.06919087,-0.9760401,4.068505
-0.1585473,-8.096461,-21.37422,0.06921729,-0.9756696,4.066729
-0.1457304,-8.25765,-21.9529,0.06951921,-0.9772275,4.05298
-1.15941,-2.369387,-352.9706,0.06916446,-0.9764136,4.070296
-0.03454582,-8.607838,-23.57268,0.06940821,-0.975886,4.05716
-0.03284403,-8.692346,-23.85156,0.06940821,-0.975886,4.05716
-0.1367035,-8.561339,-22.97896,0.06930111,-0.9773936,4.064389
-0.1510554,-8.521295,-22.78627,0.06919087,-0.9760401,4.068505
-0.1355825,-8.406225,-22.47923,0.06938107,-0.9762613,4.05896
-0.08143505,-8.325533,-22.46031,0.06951921,-0.9772275,4.05298
-0.06086259,-8.269353,-22.37418,0.06938107,-0.9762613,4.05896
-0.1022971,-8.26108,-22.15965,0.06921729,-0.9756696,4.066729
-0.1140339,-8.248952,-22.06766,0.0690807,-0.9747054,4.072719
-0.1043142,-8.265899,-22.166,0.06921729,-0.9756696,4.066729
-0.09837876,-8.265127,-22.19037,0.06900073,-0.9758261,4.078092
-0.1003937,-8.269941,-22.19669,0.06938107,-0.9762613,4.05896
-0.1028588,-8.269122,-22.18292,0.06949279,-0.9776044,4.054787
-0.0973713,-8.262715,-22.18719,0.06919087,-0.9760401,4.068505
-0.09007396,-8.278845,-22.27188,0.06957275,-0.9764785,4.049388
-0.08135889,-8.311869,-22.41692,0.06919087,-0.9760401,4.068505
0.3298518,-8.484972,-24.85239,0.07086823,-0.9788078,3.9863
1.136556,-8.493701,-28.95618,0.07076328,-0.9803078,3.993492
1.767324,-8.376225,-32.28494,0.06943463,-0.9755141,4.055377
1.946197,-7.927753,-32.72896,0.06935538,-0.9766313,4.060735
1.88714,-6.360601,-31.39731,0.06990199,-0.9776707,4.033887
1.867843,-5.843113,-31.68918,0.06951921,-0.9772275,4.05298
1.809022,-5.446097,-31.84746,0.06949279,-0.9776044,4.054787
1.726093,-5.072694,-32.041,0.06965738,-0.9782033,4.047053
1.684117,-4.826729,-32.70781,0.06949279,-0.9776044,4.054787
1.651402,-4.63403,-33.61815,0.06965738,-0.9782033,4.047053
